Identifiant du projet lauréat;Lien URL vers le projet soumis au vote;Lien URL vers le projet lauréat;Edition;Titre du projet lauréat;Thématique;Direction pilote du projet lauréat;Budget global du projet lauréat;Echelle du Budget participatif;Adresse du projet lauréat;Arrondissement du projet lauréat;Projet en Quartier populaire;Avancement du projet;Date de début des études du projet;Date de lancement des procédures du projet;Date de lancement des travaux du projet;Date prévisonnelle de livraison du projet;Date d'ouverture du projet au public;Dernière mise à jour des données du projet
2204;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2204&portlet_id=158;2014;;Cadre de vie;Direction de la Voirie et des Déplacements;1500000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2017-07;2018-04;2018-01;2018-06;2020-02;
2206;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2206&portlet_id=158;2014;Des jardins sur les murs;Environnement;Direction des Espaces Verts et de l’Environnement;2000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2015-01;2015-01;2015-03;2015-04;2021-12;
3720;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002733;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3720&portlet_id=158;2017;Une zone de remise en forme au jardin Eole;Cadre de vie;Direction des Espaces Verts et de l’Environnement;110000;Budget participatif d’arrondissement;jardin d'Eole;75018;Oui;FIN;2017-11;2018-04;2018-04;2018-07;2020-03;
3780;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002718;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3780&portlet_id=158;2017;#VillePlusPropre;Propreté;Direction de la Propreté et de l’Eau;3000000;Budget participatif parisien;Place de l' Hôtel de Ville - Esplanade de la Libération;75004;Non;FIN;2017-01;2018-09;2018-10;2018-10;2022-01;
8597;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=001676;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8597&portlet_id=158;2019;Accessibilité au square des Batignolles;Solidarités;Direction des Espaces Verts et de l’Environnement;45000;Budget participatif d’arrondissement;Square des Batignolles;75017;Non;FIN;2020-01;2020-06;2020-06;2020-07;2020-07;
8689;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=000950;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8689&portlet_id=158;2019;Suite de la restauration de la fontaine Louvois;Culture et patrimoine;Direction des Affaires Culturelles;300000;Budget participatif d’arrondissement;69 bis, rue de Richelieu;75123;Non;FIN;2020-01;2020-01;2020-05;2020-12;2021-01;
8767;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=001904;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8767&portlet_id=158;2019;Embellir le Pavillon Carré de Baudouin;Culture et patrimoine;Direction Constructions Publiques et Architecture;500000;Budget participatif d’arrondissement;121 rue de Ménilmontant;75020;Oui;FIN;2020-01;2021-02;2022-07;2022-12;2023-03;
8519;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=001129;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8519&portlet_id=158;2019;Pour une réhabilitation écologique du lac du parc Montsouris;Environnement;Direction des Espaces Verts et de l’Environnement;120000;Budget participatif d’arrondissement;parc Montsouris;75014;Non;FIN;2020-01;2020-09;2020-11;2021-01;2021-05;
8818;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=002211;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8818&portlet_id=158;2019;Rénovation de l’Île aux Cygnes;Cadre de vie;Direction de la Voirie et des Déplacements;500000;Budget participatif d’arrondissement;Île aux Cygnes;75015;Non;TRAVAUX;2020-01;;2022-06;2024-06;;
8743;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=001070;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8743&portlet_id=158;2019;Ouverture d'un café des enfants à la Goutte d'Or;Education et jeunesse;Direction de la Démocratie, des Citoyens et des Territoires;350000;Budget participatif d’arrondissement;9 Rue Saint-Bruno;75018;Oui;ETUDES;2020-01;;;;;
8658;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=000605;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8658&portlet_id=158;2019;Rénovation de la fontaine de la place Jussieu;Culture et patrimoine;Direction des Affaires Culturelles;15000;Budget participatif d’arrondissement;place Jussieu;75005;Non;FIN;2020-01;2020-07;2021-01;2021-04;2023-10;
8517;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=001600;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8517&portlet_id=158;2019;Végétalisons les écoles du quartier Montsouris-Dareau !;Environnement;Direction des Espaces Verts et de l’Environnement;610000;Budget participatif d’arrondissement;13 avenue de la Sibelle;75014;Non;LIVRAISON;2019-10;;;2023-12;;
8514;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=002235;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8514&portlet_id=158;2019;Végétaliser et embellir le 13e;Environnement;Direction des Espaces Verts et de l’Environnement;39000;Budget participatif d’arrondissement;rue Jeanne d'Arc;75013;Non;TRAVAUX;2019-10;2020-11;2021-09;;;
8537;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=002236;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8537&portlet_id=158;2019;Tri et assises au parc Montsouris;Environnement;Direction des Espaces Verts et de l’Environnement;110000;Budget participatif d’arrondissement;parc Montsouris;75014;Non;FIN;2019-10;2020-07;2020-07;2022-12;2024-02;
8612;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=001399;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8612&portlet_id=158;2019;De l’art et de la culture dans les rues du 11e;Culture et patrimoine;Direction des Affaires Culturelles;240000;Budget participatif d’arrondissement;rue du Moulin Joly;75011;Oui;PROCEDURES;2019-10;2021-09;;2024-11;;
8512;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=002234;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8512&portlet_id=158;2019;Du sport partout pour tous;Sport;Direction de la Jeunesse et des Sports;280000;Budget participatif d’arrondissement;boulevard Auguste Blanqui;75013;Non;FIN;2019-10;2020-10;2021-10;2021-06;2021-12;
8775;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=000705;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8775&portlet_id=158;2019;Refection du TEP Mouraud;Sport;Direction de la Jeunesse et des Sports;300000;Budget participatif d’arrondissement;13 rue Mouraud;75020;Oui;FIN;2019-12;;2021-04;2021-05;2021-05;
6278;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=002083;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6278&portlet_id=158;2018;Isolation et confort thermiques renforcés pour les écoles;Education et jeunesse;Direction des Affaires Scolaires;940000;Budget participatif d’arrondissement;130 Avenue Daumesnil;75012;Non;LIVRAISON;2019-02;2020-10;2020-12;2019-09;;
8876;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=000837;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8876&portlet_id=158;2019;Ouvrir les cours d’école aux sportifs les week-ends;Sport;Direction des Affaires Scolaires;3000000;Budget participatif parisien;place de l'Hotel de Ville-Esplanade de la Libération;75004;Oui;LIVRAISON;2020-01;2024-03;2024-08;2021-08;;
2942;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003702;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2942&portlet_id=158;2016;+ de végétal dans les quartiers populaires;Environnement;Direction des Espaces Verts et de l’Environnement;2200000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Oui;LIVRAISON;2016-11;2017-03;2017-09;2018-03;;
8550;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=001801;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8550&portlet_id=158;2019;Des toitures solaires et végétales pour nos écoles;Environnement;Direction des Affaires Scolaires;960000;Budget participatif d’arrondissement;72 rue du faubourg saint martin;75010;Non;FIN;2020-01;;2022-08;2023-09;2023-09;
9943;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=G&idee=002571;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=9943&portlet_id=158;2021;Favoriser l’économie sociale, solidaire et circulaire;Solidarités;Direction de l’Attractivité et de l’Emploi;1160000;Budget participatif d’arrondissement;12 place Léon Blum;75011;Non;LIVRAISON;2021-10;2022-03;2022-04;2023-03;;
9945;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=G&idee=002573;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=9945&portlet_id=158;2021;Culture, bien-être : pour la solidarité et l’accessibilité;Culture et patrimoine;;1900000;Budget participatif d’arrondissement;213 boulevard Vincent Auriol;75013;Non;ETUDES;2021-11;;;2024-10;;
9980;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=G&idee=002612;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=9980&portlet_id=158;2021;Entretenir et sécuriser les rues et trottoirs du 17ème;Cadre de vie;Direction de la Voirie et des Déplacements;1630000;Budget participatif d’arrondissement;61 boulevard Berthier;75017;Non;LIVRAISON;2021-10;2021-11;2022-02;2023-03;;
10599;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=H&idee=001719;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=10599&portlet_id=158;2022;Favoriser la vie culturelle du quartier Belleville Saint-Maur;Culture et patrimoine;Direction des Affaires Culturelles;2000000;Budget participatif d’arrondissement;;75011;Oui;ETUDES;2022-10;;;2025-02;;
10548;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=H&idee=001678;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=10548&portlet_id=158;2022;Des îlots de fraîcheur pour faire face aux canicules;Environnement;Direction Constructions Publiques et Architecture;4000000;Budget participatif parisien;;75004;Non;ETUDES;2022-10;;;;;
8642;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=002213;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8642&portlet_id=158;2019;Des ordinateurs pour les écoles du 12eme;Education et jeunesse;Direction des Affaires Scolaires;800000;Budget participatif d’arrondissement;Mairie du 12e;75012;Non;LIVRAISON;2020-01;2020-12;2022-12;2020-06;;
8825;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=002263;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8825&portlet_id=158;2019;Plus d'équipements dans nos écoles;Education et jeunesse;Direction des Affaires Scolaires;300000;Budget participatif d’arrondissement;2 rue Théodore Deck;75015;Non;LIVRAISON;2020-01;2021-10;2024-10;2020-10;;
8856;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=000748;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8856&portlet_id=158;2019;Une promenade végétalisée boulevard Macdonald;Environnement;Direction des Espaces Verts et de l’Environnement;30000;Budget participatif d’arrondissement;Boulevard Macdonald;75019;Oui;FIN;2020-01;2020-07;2021-11;2021-12;2023-12;
11118;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=I&idee=001773;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=11118&portlet_id=158;2023;Basket, tennis, jouons par tous les temps;Sport;Direction de la Jeunesse et des Sports;1500000;Budget participatif d’arrondissement;31 Rue Péclet;75015;Non;ETUDES;2023-11;;;;;
11155;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=I&idee=001803;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=11155&portlet_id=158;2023;Faire rayonner le Théâtre sur le 14e;Culture et patrimoine;Direction des Affaires Culturelles;310000;Budget participatif d’arrondissement;2 place Ferdinand Brunot;75014;Oui;ETUDES;2023-10;;;;;
11119;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=I&idee=001774;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=11119&portlet_id=158;2023;Moderniser les infrastructures de grands jeux dans le 15e;Sport;Direction de la Jeunesse et des Sports;2000000;Budget participatif d’arrondissement;31 Rue Péclet;75015;Oui;ETUDES;2023-11;;;;;
11253;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=I&idee=001772;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=11253&portlet_id=158;2023;Favoriser le sport de plein-air;Sport;Direction de la Jeunesse et des Sports;500000;Budget participatif d’arrondissement;31 Rue Péclet;75015;Non;TRAVAUX;2023-11;2024-02;2024-03;2024-12;;
1516;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1516&portlet_id=158;2015;Verdir la rue Saint-Denis;Cadre de vie;Direction des Espaces Verts et de l’Environnement;35000;Budget participatif d’arrondissement;Rue Saint-Denis;75002;Non;FIN;2016-01;2016-06;2016-07;2019-08;2019-07;
1522;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1522&portlet_id=158;2015;Arche de la fraternité franco-asiatique;Cadre de vie;Direction des Affaires Culturelles;300000;Budget participatif d’arrondissement;72 avenue de Choisy;75013;Non;FIN;2015-12;2018-06;2019-10;2019-12;2020-02;
1712;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1712&portlet_id=158;2015;Plantation de plantes médicinales;Cadre de vie;Direction des Espaces Verts et de l’Environnement;5000;Budget participatif d’arrondissement;1 Rue Lacépède;75005;Non;FIN;2016-01;2016-04;2016-05;2016-05;2016-06;
1718;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1718&portlet_id=158;2015;Création d'un jardin pédagogique dans la cour de l'école maternelle Buffon;Education et jeunesse;Direction des Affaires Scolaires;8000;Budget participatif d’arrondissement;15b Rue Buffon;75005;Non;FIN;2016-01;2016-03;2016-07;2016-08;2016-09;
1777;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1777&portlet_id=158;2015;Pose de 20 bacs à fleurs dans les rues de l'arrondissement;Environnement;Direction des Espaces Verts et de l’Environnement;20000;Budget participatif d’arrondissement;9 Rue Carrière-Mainguet;75011;Non;FIN;2016-03;2016-04;2016-05;2016-05;2016-05;
1921;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1921&portlet_id=158;2015;Création d'un espace de détente et de convivialité Place Martin Nadaud;Cadre de vie;Direction des Espaces Verts et de l’Environnement;150000;Budget participatif d’arrondissement;Place Martin Nadaud;75020;Non;FIN;2016-06;2017-09;2018-04;2018-07;2018-07;
2072;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2072&portlet_id=158;2015;Des jardins pédagogiques pour des crèches;Environnement;Direction des Familles et de la Petite Enfance;15000;Budget participatif d’arrondissement;130 Avenue Daumesnil;75012;Non;FIN;2016-03;2016-04;2016-11;2017-01;2019-12;
2095;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2095&portlet_id=158;2015;Restauration de la Petite Mairie de la Place d'Aligre;Cadre de vie;Direction Constructions Publiques et Architecture;150000;Budget participatif d’arrondissement;Place d'Aligre;75012;Non;FIN;2016-01;2016-02;2016-04;2020-01;2020-01;
2397;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=001977;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2397&portlet_id=158;2016;Aménagement de la partie 13 du GR Street Art Arcueil Paris Vitry;Culture et patrimoine;Direction des Affaires Culturelles;45000;Budget participatif d’arrondissement;1 Place d'Italie;75013;Non;FIN;2017-02;2017-10;2018-04;2019-12;2019-12;
2587;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=002709;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2587&portlet_id=158;2016;Rénovation et embellissement des rues Saint-Marc et des Panoramas;Cadre de vie;Direction de la Voirie et des Déplacements;500000;Budget participatif d’arrondissement;Rue Saint-Marc;75002;Non;FIN;2017-08;2017-12;2019-06;2019-09;2019-09;
2895;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=000751;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2895&portlet_id=158;2016;Du vert à Mouffetard : végétalisation du square Vermenouze sous réserve de l'obtention d'un permis de végétaliser;Cadre de vie;Direction des Espaces Verts et de l’Environnement;8000;Budget participatif d’arrondissement;Square Vermenouze;75005;Non;FIN;2017-01;2017-04;2017-06;2017-06;2018-10;
2643;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003617;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2643&portlet_id=158;2016;Créer un nouvel espace de vie aux abords du Centre Valeyre;Cadre de vie;Direction de la Voirie et des Déplacements;510000;Budget participatif d’arrondissement;CENTRE D'ANIMATION VALEYRE;75009;Non;FIN;2017-05;2017-11;2018-07;2018-12;2018-12;
2837;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=C&idee=003659;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2837&portlet_id=158;2016;Réaménagement de la place Cambronne et de ses abords;Cadre de vie;Direction de la Voirie et des Déplacements;720000;Budget participatif d’arrondissement;Place Cambronne;75015;Non;FIN;2017-01;2018-01;2018-06;2019-05;2019-05;
2106;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2106&portlet_id=158;2014;Coworking étudiants-entrepreneurs;Attractivité et emploi;Direction de l’Attractivité et de l’Emploi;2000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2015-02;2015-05;2015-07;2015-10;2017-06;
6233;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=000557;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6233&portlet_id=158;2018;Rénover le gymnase Jemmapes;Sport;Direction de la Jeunesse et des Sports;200000;Budget participatif d’arrondissement;Gymnase Jemmapes;75010;Oui;FIN;2018-12;2019-01;2019-07;2019-09;2019-09;
6260;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=000714;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6260&portlet_id=158;2018;Montmartre accessible à tous - Phase 3;Mobilités;Direction de la Voirie et des Déplacements;300000;Budget participatif d’arrondissement;Rue du Chevalier de la Barre;75018;Non;FIN;2019-08;2019-11;2021-10;2023-08;2023-12;
6297;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=000844;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6297&portlet_id=158;2018;Pour un quartier Porte de Vincennes ludique et solidaire;Solidarités;;15000;Budget participatif d’arrondissement;35 avenue Courteline;75012;Oui;ETUDES;2019-07;;;;;
6152;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=000921;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6152&portlet_id=158;2018;Sécuriser la promenade Pereire;Prévention et sécurité;Direction de la Voirie et des Déplacements;145000;Budget participatif d’arrondissement;boulevard Pereire;75017;Non;FIN;2019-01;2019-03;2021-02;2021-05;2021-06;
6090;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=000992;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6090&portlet_id=158;2018;Aménagement du préau de l'école des Hospitalières Saint-Gervais;Education et jeunesse;Direction des Affaires Scolaires;325000;Budget participatif d’arrondissement;10 rue des Hospitalières Saint-Gervais;75004;Non;FIN;2019-03;2020-05;2021-07;2021-11;2021-11;
6402;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=001573;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6402&portlet_id=158;2018;Renouvellement des toilettes du parc des Buttes-Chaumont;Propreté;Direction des Espaces Verts et de l’Environnement;100000;Budget participatif d’arrondissement;parc des Buttes Chaumont;75019;Non;FIN;2019-02;;2020-01;2020-12;2021-05;
6199;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=002121;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6199&portlet_id=158;2018;Améliorer les conditions d’accueil des tout-petits;Education et jeunesse;Direction des Familles et de la Petite Enfance;600000;Budget participatif d’arrondissement;6 Place Gambetta;75020;Oui;LIVRAISON;2019-02;2019-07;2019-09;2023-12;;
6292;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=002143;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6292&portlet_id=158;2018;Des élèves mobilisés pour embellir le collège Paul Valéry;Education et jeunesse;Direction des Affaires Scolaires;500000;Budget participatif d’arrondissement;college Paul Valéry;75012;Oui;PROCEDURES;2019-03;2019-12;2024-08;2026-08;;
6107;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=002117;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6107&portlet_id=158;2018;Renouveau au Parc Monceau !;Cadre de vie;Direction des Espaces Verts et de l’Environnement;600000;Budget participatif d’arrondissement;Parc Monceau;75008;Non;LIVRAISON;2018-10;2019-09;2021-03;2023-12;;
6328;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=002153;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6328&portlet_id=158;2018;Des arbres et des jardinières fleuries pour le 13e !;Cadre de vie;Direction des Espaces Verts et de l’Environnement;221000;Budget participatif d’arrondissement;place de l'Abbé Georges Hénocque;75013;Non;FIN;2018-10;2019-03;2019-11;2021-12;2021-03;
3817;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002798;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3817&portlet_id=158;2017;Réaménager les espaces sportifs des jardins du 20e;Sport;Direction des Espaces Verts et de l’Environnement;800000;Budget participatif d’arrondissement;41 rue des Haies;75020;Non;LIVRAISON;2017-11;2018-04;2018-05;2018-07;;
6046;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=002134;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6046&portlet_id=158;2018;De l'art pour nos enfants;Education et jeunesse;Direction des Affaires Scolaires;245000;Budget participatif d’arrondissement;2 Place Ferdinand Brunot;75014;Non;FIN;2019-01;2019-06;2019-08;2019-09;2021-06;
3800;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002792;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3800&portlet_id=158;2017;#CoupsDeCulture;Culture et patrimoine;Direction des Affaires Culturelles;4000000;Budget participatif parisien;Place de l' Hôtel de Ville - Esplanade de la Libération;75004;Oui;FIN;2017-11;2018-01;2018-03;2018-09;2022-01;
3393;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=000996;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3393&portlet_id=158;2017;Apaiser la circulation dans le quartier de la rue Neuve Saint-Pierre;Environnement;Direction de la Voirie et des Déplacements;275000;Budget participatif d’arrondissement;rue Neuve St Pierre;75123;Non;FIN;2017-11;;2019-05;2019-10;2019-10;
3688;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002744;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3688&portlet_id=158;2017;Sécurisation du secteur Moines / Guy Môquet / Davy;Mobilités;Direction de la Voirie et des Déplacements;435000;Budget participatif d’arrondissement;rue des Moines;75017;Non;FIN;2018-01;2018-06;2020-07;2022-01;2022-01;
3565;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=001590;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3565&portlet_id=158;2017;Achèvement de la restauration de la fontaine Louvois;Environnement;Direction des Affaires Culturelles;80000;Budget participatif d’arrondissement;69 bis, rue de Richelieu;75002;Non;FIN;2018-04;2018-09;2020-01;2020-11;2020-11;
3626;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002359;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3626&portlet_id=158;2017;Rénovation de la fontaine du square de la Trinité;Cadre de vie;Direction des Espaces Verts et de l’Environnement;100000;Budget participatif d’arrondissement;SQUARE D'ESTIENNE D'ORVES DIT DE LA TRINITE;75009;Non;FIN;2017-11;2018-07;2018-09;2019-06;2019-06;
3526;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=001091;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3526&portlet_id=158;2017;Enregistrer et diffuser la voix des habitants du 18ème;Solidarités;Direction de la Jeunesse et des Sports;300000;Budget participatif d’arrondissement;48 Rue Charles Hermite;75018;Oui;FIN;2018-04;2019-06;2020-11;2023-02;2023-07;
3615;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002169;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3615&portlet_id=158;2017;Pour un meilleur passage de l'industrie !;Cadre de vie;Direction de la Voirie et des Déplacements;100000;Budget participatif d’arrondissement;Passage de l'Industrie;75010;Oui;FIN;2019-10;;2019-11;2023-12;2024-01;
3470;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=000440;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3470&portlet_id=158;2017;Apaiser la rue Oberkampf;Cadre de vie;Direction de la Voirie et des Déplacements;1200000;Budget participatif d’arrondissement;Rue Oberkampf;75011;Non;LIVRAISON;2018-09;;;2024-03;;
3502;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=000808;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3502&portlet_id=158;2017;Végétaliser le terre-plein du bd de Charonne (Avron-Dumas);Cadre de vie;Direction des Espaces Verts et de l’Environnement;80000;Budget participatif d’arrondissement;35 Boulevard de Charonne;75011;Non;FIN;2017-11;2018-12;2019-07;2020-02;2020-02;
3766;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002734;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3766&portlet_id=158;2017;Réaménagement du square Léon Serpollet;Environnement;Direction des Espaces Verts et de l’Environnement;620000;Budget participatif d’arrondissement;square Leon Serpollet;75018;Non;FIN;2017-11;2018-11;2021-09;2022-04;2022-04;
3438;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002677;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3438&portlet_id=158;2017;Réaménager les boulevards Garibaldi et Grenelle en promenade plantée;Cadre de vie;Direction de la Voirie et des Déplacements;1650000;Budget participatif d’arrondissement;Boulevards Garibaldi et Grenelle;75015;Non;(non démarré);;;;;;
