Identifiant du projet lauréat;Lien URL vers le projet soumis au vote;Lien URL vers le projet lauréat;Edition;Titre du projet lauréat;Thématique;Direction pilote du projet lauréat;Budget global du projet lauréat;Echelle du Budget participatif;Adresse du projet lauréat;Arrondissement du projet lauréat;Projet en Quartier populaire;Avancement du projet;Date de début des études du projet;Date de lancement des procédures du projet;Date de lancement des travaux du projet;Date prévisonnelle de livraison du projet;Date d'ouverture du projet au public;Dernière mise à jour des données du projet
6183;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=000621;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6183&portlet_id=158;2018;Installer une ferme pédagogique sur le toit-terrasse du collège Flora Tristan;Education et jeunesse;Direction des Espaces Verts et de l’Environnement;420000;Budget participatif d’arrondissement;college Flora Tristan, 4 Rue Galleron;75020;Oui;LIVRAISON;2018-02;2018-02;;2021-05;;
10579;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=H&idee=001700;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=10579&portlet_id=158;2022;Embellir et rénover les écoles du 5e;Education et jeunesse;Direction des Affaires Scolaires;1750000;Budget participatif d’arrondissement;place du Panthéon;75005;Non;TRAVAUX;2022-10;2022-10;2023-11;2024-07;;
10646;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=H&idee=001768;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=10646&portlet_id=158;2022;Maison des Associations et club-house : se retrouver et recevoir !;Solidarités;Direction de la Démocratie, des Citoyens et des Territoires;2000000;Budget participatif d’arrondissement;;75013;Non;ETUDES;2022-10;;;;;
10465;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=H&idee=000915;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=10465&portlet_id=158;2022;Ouvrons les écoles aux enfants extraordinaires !;Education et jeunesse;Direction des Affaires Scolaires;2000000;Budget participatif d’arrondissement;mairie du 14 ème arrondissement;75014;Non;ETUDES;2024-03;2024-12;2025-08;2025-12;;
10485;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=H&idee=000444;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=10485&portlet_id=158;2022;La modernisation du centre sportif Georges Carpentier;Sport;Direction de la Jeunesse et des Sports;2000000;Budget participatif d’arrondissement;81 boulevard Masséna;75013;Oui;LIVRAISON;2022-10;;2023-06;2024-01;;
11221;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=I&idee=000706;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=11221&portlet_id=158;2023;Créer un équipement de santé de proximité à Belleville;Santé;;700000;Budget participatif d’arrondissement;72 Rue du Faubourg Saint-Martin;75010;Oui;(non démarré);;;;;;
11131;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=I&idee=001857;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=11131&portlet_id=158;2023;Moderniser les équipements sportifs du 18ème;Sport;Direction de la Jeunesse et des Sports;2300000;Budget participatif d’arrondissement;1 Place Jules Joffrin;75018;Oui;ETUDES;2023-11;;;;;
11196;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=I&idee=001840;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=11196&portlet_id=158;2023;Pour un 20e verdoyant;Cadre de vie;Direction des Espaces Verts et de l’Environnement;1420000;Budget participatif d’arrondissement;6 place Gambetta;75020;Non;TRAVAUX;2023-10;2024-03;2024-04;2024-05;;
1360;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1360&portlet_id=158;2015;Végétaliser le pont Saint-Louis;Environnement;Direction des Espaces Verts et de l’Environnement;16000;Budget participatif d’arrondissement;Pont Saint-Louis;75004;Non;ABANDONNÉ;;;;;;
1610;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=1610&portlet_id=158;2015;Lutte contre les nuisances sonores sur les grands boulevards;Environnement;Direction de la Voirie et des Déplacements;300000;Budget participatif d’arrondissement;3 Rue de Lisbonne;75008;Non;FIN;2016-03;2016-11;2018-09;2018-10;2018-10;
